config,window,units,layers,dropout,ticker,MAE,MSE,RMSE,MAPE
Combination_018,20,64,2,0.2,ITMG,255.0083696842192,105843.67334380314,325.3362465877467,1.1278373949982767
Combination_018,20,64,2,0.2,MEDC,30.202221261648813,1596.409206532678,39.95508987016145,2.2950548706467013
Combination_018,20,64,2,0.2,PGAS,24.54574855969105,1246.1632198152424,35.30103709263005,1.4441008679073255
Combination_018,20,64,2,0.2,PTBA,28.34425072554204,2730.993790301989,52.258911109034685,1.180275359229285
Combination_019,20,64,2,0.3,ADRO,53.63510412331538,5417.911440881055,73.60646330914871,2.9238814918822973
Combination_019,20,64,2,0.3,BBCA,183.50557349783048,71557.2898977127,267.50194372698064,2.224667998559719
Combination_019,20,64,2,0.3,BBNI,81.07127695632502,10602.499199228749,102.96843787893816,1.930480726244684
Combination_019,20,64,2,0.3,BBRI,105.02633016743532,16009.743250634636,126.5296141250523,2.7175946572127336
Combination_019,20,64,2,0.3,BBTN,27.231607046187268,1553.1365799420423,39.40985384319564,2.2416731171190105
Combination_019,20,64,2,0.3,BMRI,125.9853918539534,25730.61948050985,160.40766652660292,2.684404408405183
Combination_019,20,64,2,0.3,ITMG,281.63185319025735,128606.31638043268,358.6172282259076,1.2471884959131725
Combination_019,20,64,2,0.3,MEDC,35.102662688242965,2316.6050339142607,48.131123339417925,2.6626305018092444
Combination_019,20,64,2,0.3,PGAS,24.261940623358843,1210.9176534713072,34.79824210317681,1.4291434120877464
Combination_019,20,64,2,0.3,PTBA,27.48908514384744,2809.773974443788,53.007301142802845,1.142451726118948
Combination_020,20,64,2,0.4,ADRO,63.94833975773065,7530.7474633534,86.7798793693181,3.44265230543699
Combination_020,20,64,2,0.4,BBCA,165.19355152150703,62368.36194443279,249.7365851140613,2.0020238966393133
Combination_020,20,64,2,0.4,BBNI,95.16114245215768,14597.22081343095,120.818958832755,2.254388003355554
Combination_020,20,64,2,0.4,BBRI,76.2165708924264,10117.46315529045,100.58560113301728,1.9702049225860647
Combination_020,20,64,2,0.4,BBTN,31.49549557979941,1824.0542565216024,42.70894820200566,2.6075173898792507
Combination_020,20,64,2,0.4,BMRI,105.56479085906795,18517.12639889977,136.0776484177316,2.2507647379665494
Combination_020,20,64,2,0.4,ITMG,270.70502935768064,134379.19296164133,366.5776765729759,1.2029095291160703
Combination_020,20,64,2,0.4,MEDC,38.491185821264246,2616.2992112584016,51.14977234806037,2.9072543909236264
Combination_020,20,64,2,0.4,PGAS,28.134679639939776,1513.6842751304748,38.90609560378007,1.6590780752061127
Combination_020,20,64,2,0.4,PTBA,27.43614010888038,3087.4442336257603,55.564775115407066,1.1386341582115462
Combination_021,20,64,3,0.1,ADRO,44.53842696365265,3761.897934794303,61.33431286640703,2.422346603900101
Combination_021,20,64,3,0.1,BBCA,152.30770442554413,54360.47311993701,233.15332534608424,1.8442205506142857
Combination_021,20,64,3,0.1,BBNI,68.96791924675597,8433.08674457619,91.8318394924995,1.6342353619004706
Combination_021,20,64,3,0.1,BBRI,71.20335683565692,9222.355471407049,96.03309570875578,1.84802952594723
Combination_021,20,64,3,0.1,BBTN,27.17816050755096,1489.7185613625331,38.5968724298036,2.240671338308472
Combination_021,20,64,3,0.1,BMRI,88.54750128101098,12039.977656161438,109.7268319790626,1.8862425820287048
Combination_021,20,64,3,0.1,ITMG,207.9736282821185,83963.87468041111,289.7652061245641,0.9240012725674788
Combination_021,20,64,3,0.1,MEDC,37.617276816179015,2596.4003005990626,50.95488495325117,2.8480884730137417
Combination_021,20,64,3,0.1,PGAS,24.07905619779077,1108.560181737707,33.295047405548274,1.4132461920898296
Combination_021,20,64,3,0.1,PTBA,33.426223373670375,3374.1735127918246,58.08763648825647,1.3978027800991983
Combination_022,20,64,3,0.2,ADRO,46.01215221094999,4000.4279867254913,63.24893664501793,2.5149855136241093
Combination_022,20,64,3,0.2,BBCA,178.88917630524938,71802.41478769256,267.9597260554141,2.1676461285124256
Combination_022,20,64,3,0.2,BBNI,143.56034615056984,32303.045804910256,179.73048101229313,3.388551826281791
Combination_022,20,64,3,0.2,BBRI,82.263622004352,11418.24364736541,106.85618207368915,2.1373556843897235
Combination_022,20,64,3,0.2,BBTN,31.028968784767606,1881.9442627586448,43.38138152201523,2.562090606200212
Combination_022,20,64,3,0.2,BMRI,123.05562049579272,24977.47236301365,158.042628309623,2.6286063698495177
Combination_022,20,64,3,0.2,ITMG,332.61624798714683,190405.8992595139,436.3552443359813,1.4728362238656405
Combination_022,20,64,3,0.2,MEDC,37.25161162349178,2418.705272608025,49.180334205940746,2.8123578913446794
Combination_022,20,64,3,0.2,PGAS,24.542952921750715,1160.06635001746,34.059746769720114,1.4445032310684356
Combination_022,20,64,3,0.2,PTBA,25.59731370896744,2671.403422296246,51.68562104005568,1.062930151612011
Combination_023,20,64,3,0.3,ADRO,62.492531772783344,6865.366943590803,82.85750988046166,3.3975836089896667
Combination_023,20,64,3,0.3,BBCA,130.01385404051632,34816.45152312435,186.5916705620172,1.5802722946571388
Combination_023,20,64,3,0.3,BBNI,119.39993391791695,21776.916263929423,147.5700385035168,2.826878138552295
Combination_023,20,64,3,0.3,BBRI,143.78985040043202,28244.758327668755,168.0617693815841,3.729535093630064
Combination_023,20,64,3,0.3,BBTN,33.211980865929604,2171.412700597995,46.59841950751114,2.741171991905208
Combination_023,20,64,3,0.3,BMRI,143.25259136210238,34390.45551531927,185.4466379186187,3.0407578107284428
Combination_023,20,64,3,0.3,ITMG,372.404082376751,218018.9067308572,466.9249476423992,1.646173557498799
Combination_023,20,64,3,0.3,MEDC,40.09866766877867,3044.343101494093,55.17556616378389,3.032357362192955
Combination_023,20,64,3,0.3,PGAS,25.05481361485212,1228.0116091304203,35.042996577496346,1.467719356759417
Combination_023,20,64,3,0.3,PTBA,27.978552516630227,2789.931104068484,52.81979840995688,1.1644785461338791
Combination_024,20,64,3,0.4,ADRO,55.37847543416694,5600.45813651048,74.83620872619403,3.018297387817387
Combination_024,20,64,3,0.4,BBCA,239.8633512104157,122169.26750199676,349.5272056678804,2.891774653921324
Combination_024,20,64,3,0.4,BBNI,145.7944345645768,33093.69506970973,181.91672564585625,3.43230993282298
Combination_024,20,64,3,0.4,BBRI,84.05514937536367,11717.732239570969,108.24847453692348,2.194764039237576
Combination_024,20,64,3,0.4,BBTN,32.93275420126587,2015.448084774888,44.89374215606099,2.7249469057896785
Combination_024,20,64,3,0.4,BMRI,148.25985766143245,34877.81420959548,186.75602857630992,3.1497691969676915
Combination_024,20,64,3,0.4,ITMG,317.8406575493675,172779.72479772347,415.66780582301953,1.407623435957634
Combination_024,20,64,3,0.4,MEDC,38.65923739299692,2455.4417996838047,49.55241467056681,2.918112051566999
Combination_024,20,64,3,0.4,PGAS,26.471777596919644,1359.7746369954075,36.87512219634543,1.565118983130478
Combination_024,20,64,3,0.4,PTBA,37.14944258975468,4923.279271893341,70.16608348691938,1.553052182113302
Combination_025,20,128,1,0.1,ADRO,34.69481763007831,2532.7459950546454,50.32639461609232,1.8853939575706629
Combination_025,20,128,1,0.1,BBCA,105.19940582539536,24147.69081726499,155.39527282792417,1.2782481977261575
Combination_025,20,128,1,0.1,BBNI,67.01056015577248,8371.666062274959,91.49680902782872,1.5844779846655364
Combination_025,20,128,1,0.1,BBRI,68.48838159081184,8244.480067741513,90.79911931148624,1.7730246032072787
Combination_025,20,128,1,0.1,BBTN,25.61992344352192,1298.4484679537145,36.03399045281711,2.11239322120454
Combination_025,20,128,1,0.1,BMRI,72.67112271820041,8771.40568873935,93.65578299677682,1.5528511985046027
Combination_025,20,128,1,0.1,ITMG,173.34782592684266,61506.14323820986,248.0043210071346,0.7678180117189903
Combination_025,20,128,1,0.1,MEDC,30.79066270700797,1677.069302587105,40.95203661098072,2.335967939494788
Combination_025,20,128,1,0.1,PGAS,22.77585818613176,1054.1489595442958,32.46766021049709,1.3331821527832446
Combination_025,20,128,1,0.1,PTBA,22.390809331437666,2176.521445294941,46.65320401960557,0.9292634541102984
Combination_026,20,128,1,0.2,ADRO,36.05455186673635,2684.2217251151687,51.80947524454546,1.9582583737227672
Combination_026,20,128,1,0.2,BBCA,118.55204137752382,31835.79891028609,178.42589192795447,1.4368062421261625
Combination_026,20,128,1,0.2,BBNI,62.52750170316632,7346.468662700495,85.71154334569233,1.4800181770833638
Combination_026,20,128,1,0.2,BBRI,64.02344943874658,7389.349336677921,85.96132465637045,1.6580201587283931
Combination_026,20,128,1,0.2,BBTN,28.97990555719119,1703.708497336605,41.27600389253549,2.385971306349325
Combination_026,20,128,1,0.2,BMRI,75.08970279058967,9119.494439384882,95.4960441033286,1.607289654988345
Combination_026,20,128,1,0.2,ITMG,274.65399573389584,127925.60490753174,357.6668909859169,1.216798649338634
Combination_026,20,128,1,0.2,MEDC,32.83813506064545,1898.9511982315964,43.57695719335617,2.4892688329900494
Combination_026,20,128,1,0.2,PGAS,24.675632929630403,1251.0578123539794,35.37029562152371,1.453222650256646
Combination_026,20,128,1,0.2,PTBA,24.108636536829763,2296.543613651332,47.92226636597368,1.0009669562932184
Combination_027,20,128,1,0.3,ADRO,37.19900105604165,2709.013615972307,52.04818552046082,2.0264104346544864
Combination_027,20,128,1,0.3,BBCA,104.3742242283958,22863.87092492909,151.20803855922836,1.269923960757162
Combination_027,20,128,1,0.3,BBNI,65.56138786480584,7975.674895025672,89.30663410422359,1.551839592981934
Combination_027,20,128,1,0.3,BBRI,65.44171202959959,7697.55883189516,87.7357329250469,1.6949041556183382
Combination_027,20,128,1,0.3,BBTN,29.92374391038595,1844.5424206945568,42.94813640537336,2.4569272156221604
Combination_027,20,128,1,0.3,BMRI,80.71263688288147,10528.07303258289,102.60639859474112,1.726773348036462
Combination_027,20,128,1,0.3,ITMG,206.977645924194,75669.71683606168,275.0812913232408,0.9153149993910582
Combination_027,20,128,1,0.3,MEDC,36.29506289971166,2306.737370708124,48.02850581381981,2.7480095838865912
Combination_027,20,128,1,0.3,PGAS,23.53265578798251,1134.576981382144,33.68348232267775,1.383238783150493
Combination_027,20,128,1,0.3,PTBA,24.49052868129538,2397.27825792112,48.962008311762695,1.0145576411125703
Combination_028,20,128,1,0.4,ADRO,38.386287347232695,2811.0613357061284,53.01944299694338,2.0923986210507897
Combination_028,20,128,1,0.4,BBCA,105.84786722128337,24311.765972117068,155.92230748714908,1.2860184922591238
Combination_028,20,128,1,0.4,BBNI,68.26212521079633,8615.665641872705,92.82061000592869,1.6123938123847017
Combination_028,20,128,1,0.4,BBRI,66.2589551783956,7767.540760508506,88.1336528263098,1.718592898152399
Combination_028,20,128,1,0.4,BBTN,26.467978150741622,1407.8499453070806,37.5213265398104,2.1833806316373185
Combination_028,20,128,1,0.4,BMRI,80.21654133530825,10976.557600715954,104.76906795765606,1.7065075108903769
Combination_028,20,128,1,0.4,ITMG,268.9532876443519,117952.52488133854,343.4421710875625,1.191835339643018
Combination_028,20,128,1,0.4,MEDC,30.005618365923105,1569.3912133262943,39.61554257266073,2.269291783926266
Combination_028,20,128,1,0.4,PGAS,23.76535561444947,1185.9815293704994,34.438082544916746,1.3959131108465634
Combination_028,20,128,1,0.4,PTBA,25.73034985352763,2542.4390009621266,50.422604067641394,1.0672353726285535
Combination_029,20,128,2,0.1,ADRO,40.37931994461327,3094.119469223788,55.62480983539438,2.2067456158362657
Combination_029,20,128,2,0.1,BBCA,106.416128996036,24233.86313999877,155.672294066731,1.2923782022287416
Combination_029,20,128,2,0.1,BBNI,62.46093513296663,7708.260109345486,87.79669759931456,1.4712478190995248
Combination_029,20,128,2,0.1,BBRI,104.02332759891564,15853.525963121225,125.91078572990172,2.698607362324066
Combination_029,20,128,2,0.1,BBTN,23.99044423776301,1226.861627669878,35.026584584710484,1.968629573276484
